"","gene_symbols","IST-MES1","MPP-89","MSTO-211H","NCI-H2052","NCI-H226","NCI-H2369","NCI-H2373","NCI-H2452","NCI-H2461","NCI-H2591","NCI-H2595","NCI-H2722","NCI-H2731","NCI-H2795","NCI-H28","NCI-H2803","NCI-H2804","NCI-H2810","NCI-H2818","NCI-H2869","NCI-H290"
"111","ABHD17B","3.0","3.0","4.0","4.0","2.0","4.0","2.0","2.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"112","ABHD17C","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","4.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"113","ABHD18","3.0","2.0","4.0","3.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"114","ABI1","3.0","2.0","3.0","3.0","2.0","4.0","2.0","6.0","5.0","2.0","1.0","4.0","1.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","4.0"
"115","ABI2","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"116","ABI3","4.0","2.0","4.0","4.0","2.0","4.0","2.0","5.0","6.0","2.0","4.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"117","ABI3BP","4.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"118","ABL1","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"119","ABL2","2.0","3.0","3.0","1.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","2.0","4.0","3.0","5.0"
"120","ABLIM1","3.0","2.0","2.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"121","ABLIM2","3.0","2.0","4.0","3.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"122","ABLIM3","4.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","2.0","2.0"
"123","ABO","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"124","ABR","3.0","2.0","4.0","3.0","2.0","2.0","2.0","5.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","3.0","3.0","2.0","4.0"
"125","ABRA","4.0","3.0","3.0","7.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","3.0","1.0","6.0","4.0","3.0","2.0","4.0"
"126","ABRACL","3.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"127","ABRAXAS1","3.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"128","ABRAXAS2","2.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"129","ABT1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"130","ABT1P1","3.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"131","ABTB1","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","3.0","4.0","3.0","2.0","3.0","2.0","4.0","2.0","4.0","1.0","3.0"
"132","ABTB2","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","1.0","3.0"
"133","ACAA1","4.0","3.0","3.0","4.0","2.0","3.0","1.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","5.0","2.0","2.0","4.0","4.0","1.0","2.0"
"134","ACAA2","2.0","2.0","4.0","4.0","2.0","3.0","1.0","2.0","5.0","2.0","3.0","4.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","1.0","3.0"
"135","ACACA","4.0","2.0","4.0","4.0","2.0","4.0","2.0","3.0","4.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"136","ACACB","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","7.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"137","ACAD8","3.0","2.0","3.0","5.0","2.0","3.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
